sigma_cd,seed,method,mse,mae,rho_mean,rho_max,ess_mean,resample_frac,nonfinite
0.1,7,WSPF-A,0.147466,0.287674,0.018856998555625715,0.15979782394665648,3.8338922616946904,1.0,0
0.1,7,WSPF-B,0.260672,0.356455,0.028123139393176285,0.47721765347402734,3.4010451756631044,1.0,0
0.1,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.1,8,PF,0.183178,0.319304,nan,nan,3.7254466186549986,1.0,0
0.1,8,WSPF-A,0.176439,0.309932,0.022506943318683238,0.4023198978685135,3.6447805645397655,1.0,0
0.1,8,WSPF-B,0.193615,0.328182,0.022264615419550632,0.19804747178910054,3.4489130258627427,1.0,0
0.1,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.1,9,PF,0.179925,0.323024,nan,nan,3.788694026933346,1.0,0
0.1,9,WSPF-A,0.171964,0.308979,0.02109028496555133,0.29843618824936846,3.621454993452598,1.0,0
0.1,9,WSPF-B,0.190992,0.317045,0.023200657164323853,0.4264713541232009,3.3641361981509523,1.0,0
